metric_family,source_name,task_name,model_id,comparison_split,n_pairs,seed_count,hidden_dim_count,standard_test_n_median,comparison_test_n_median,mean_delta,median_delta,sd_delta,sem_delta,seed_t_ci95_low,seed_t_ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,positive_delta_n,negative_delta_n,zero_delta_n,sign_consistency,sign_test_p,ci_excludes_zero,direction
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,density_matched_clean,5,5,1,1265.0,123.0,0.2223258120337398,0.2223258120337398,3.103167691559092e-17,1.3877787807814457e-17,0.2223258120337398,0.2223258120337398,0.2223258120337398,0.2223258120337398,5,0,0,1.0,0.0625,True,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,exact_removed,5,5,1,1265.0,882.0,0.034702882760911,0.034702882760911,0.0,0.0,0.034702882760911,0.034702882760911,0.034702882760911,0.034702882760911,5,0,0,1.0,0.0625,True,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,nn08_removed,5,5,1,1265.0,755.0,0.0185639150134715,0.0185639150134715,0.0,0.0,0.0185639150134715,0.0185639150134715,0.0185639150134715,0.0185639150134715,5,0,0,1.0,0.0625,True,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,scaffold_removed,5,5,1,1265.0,719.0,0.0259723669013531,0.0259723669013531,0.0,0.0,0.0259723669013531,0.0259723669013531,0.0259723669013531,0.0259723669013531,5,0,0,1.0,0.0625,True,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,density_matched_clean,40,20,2,1265.0,123.0,0.1819585712927159,0.1795168978757296,0.0129990057470118,0.0020553232739087,0.1778047629561462,0.1861123796292856,0.1781025419199097,0.1860122848654011,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,exact_removed,40,20,2,1265.0,882.0,0.0364137628706439,0.0368457460262113,0.0022891550699042,0.0003619471969109,0.0356822675856868,0.0371452581556009,0.0357094351991519,0.0371221493631146,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,nn08_removed,40,20,2,1265.0,755.0,0.0178722049011435,0.0177229467183283,0.0024417306304724,0.0003860715112445,0.0170919543769181,0.0186524554253688,0.0171239915194252,0.0186240833028247,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,scaffold_removed,40,20,2,1265.0,719.0,0.0274803143523822,0.0273614247014108,0.0027182658552066,0.0004297955694159,0.0266116975065926,0.0283489311981718,0.026642209735391,0.0283015659578113,40,0,0,1.0,1.8189894035458565e-12,True,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_xgb,density_matched_clean,5,5,1,1265.0,123.0,0.2174900358488675,0.2160913186643367,0.0156405419930531,0.0069946630202813,0.1980728513045663,0.2369072203931687,0.2054378707368971,0.2295422009608379,5,0,0,1.0,0.0625,True,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_xgb,exact_removed,5,5,1,1265.0,882.0,0.0467468331539545,0.0492881169812017,0.0044704645152996,0.0019992525094421,0.0411969081877432,0.0522967581201659,0.0429202892787459,0.0500021739239241,5,0,0,1.0,0.0625,True,standard_higher
