metric_family,source_name,task_name,model_id,comparison_split,n_pairs,seed_count,hidden_dim_count,standard_test_n_median,comparison_test_n_median,mean_delta,median_delta,sd_delta,sem_delta,seed_t_ci95_low,seed_t_ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,positive_delta_n,negative_delta_n,zero_delta_n,sign_consistency,sign_test_p,ci_available,ci_excludes_zero,uncertainty_source,uncertainty_status,direction
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,density_matched_clean,5,5,1,1265.0,123.0,0.22232581203373983,0.2223258120337398,3.1031676915590914e-17,1.3877787807814457e-17,,,,,5,0,0,1.0,0.0625,False,False,deterministic_repeat,deterministic_repeat_no_interval,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,exact_removed,5,5,1,1265.0,882.0,0.03470288276091105,0.03470288276091105,0.0,0.0,,,,,5,0,0,1.0,0.0625,False,False,deterministic_repeat,deterministic_repeat_no_interval,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,nn08_removed,5,5,1,1265.0,755.0,0.018563915013471544,0.018563915013471544,0.0,0.0,,,,,5,0,0,1.0,0.0625,False,False,deterministic_repeat,deterministic_repeat_no_interval,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_logreg,scaffold_removed,5,5,1,1265.0,719.0,0.025972366901353183,0.025972366901353183,0.0,0.0,,,,,5,0,0,1.0,0.0625,False,False,deterministic_repeat,deterministic_repeat_no_interval,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,density_matched_clean,40,20,2,1265.0,123.0,0.18195857129271592,0.17951689787572966,0.012999005747011851,0.0020553232739087975,0.17780476295614625,0.1861123796292856,0.17806124543292046,0.18603147816823493,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,exact_removed,40,20,2,1265.0,882.0,0.036413762870643934,0.03684574602621138,0.0022891550699042037,0.00036194719691096236,0.03568226758568688,0.03714525815560099,0.035720929171158426,0.03713032864768364,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,nn08_removed,40,20,2,1265.0,755.0,0.0178722049011435,0.01772294671832836,0.0024417306304724386,0.0003860715112445922,0.017091954376918177,0.018652455425368822,0.01713132099446613,0.018605195000158014,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_mlp_gpu,scaffold_removed,40,20,2,1265.0,719.0,0.027480314352382258,0.02736142470141084,0.0027182658552066725,0.0004297955694159277,0.026611697506592667,0.028348931198171848,0.02664026319259248,0.028306556053799448,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_xgb,density_matched_clean,5,5,1,1265.0,123.0,0.21749003584886753,0.21609131866433673,0.01564054199305319,0.0069946630202813945,0.19807285130456637,0.2369072203931687,0.20543787073689712,0.22954220096083794,5,0,0,1.0,0.0625,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_xgb,exact_removed,5,5,1,1265.0,882.0,0.04674683315395456,0.049288116981201724,0.0044704645152996506,0.0019992525094421334,0.0411969081877432,0.05229675812016592,0.0431902166687792,0.05000217392392414,5,0,0,1.0,0.0625,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_xgb,nn08_removed,5,5,1,1265.0,755.0,0.03311787167682225,0.03333130925442607,0.004838393866349182,0.0021637955174149607,0.02711117532047832,0.039124568033166184,0.029419410886588792,0.036816332467055714,5,0,0,1.0,0.0625,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_feature_mlp,moleculenet,BACE,morgan_xgb,scaffold_removed,5,5,1,1265.0,719.0,0.032819031539954045,0.03165502639630646,0.0032916790652218236,0.0014720836299897922,0.028732527383102384,0.03690553569680571,0.030584061511772065,0.035396625603662725,5,0,0,1.0,0.0625,True,True,seed_replicate,seed_replicate_ci_available,standard_higher
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_logreg,density_matched_clean,5,5,1,1452.0,100.0,-0.01902919804935288,-0.01902919804935288,0.0,0.0,,,,,0,5,0,1.0,0.0625,False,False,deterministic_repeat,deterministic_repeat_no_interval,comparison_higher
